"Nome","Último","Máxima","Mínima","Variação","Var. %","Vol.","Hora"
"Petrobras PN","46,14","46,18","45,80","0,56","1,23%","2,55M","10:19:07"
"Vale ON","79,55","79,55","78,90","0,71","0,90%","439,1K","10:18:57"
"Embraer ON","77,31","77,32","76,62","0,35","0,45%","182K","10:18:59"
"Banco do Brasil ON","24,00","24,02","23,79","0,10","0,42%","586,9K","10:19:06"
"Magazine Luiza ON","9,89","9,93","9,75","0,05","0,51%","1,93M","10:18:50"
"Prio ON","60,86","61,00","60,10","1,06","1,77%","899,4K","10:19:21"
"Itaúsa PN","13,49","13,49","13,34","0,11","0,82%","683,7K","10:19:17"
"Cogna ON","2,99","3,00","2,97","0,01","0,34%","586,8K","10:18:50"
"Raizen PN","0,52","0,53","0,50","0,02","4,00%","3,34M","10:19:29"
"Hapvida ON","8,73","8,91","8,61","-0,15","-1,69%","654,6K","10:19:26"
"CSN ON","6,06","6,11","6,04","0,03","0,50%","889,4K","10:18:49"
"Minerva ON","4,41","4,42","4,38","0,02","0,46%","443K","10:20:00"
"Casas Bahia ON","2,93","2,94","2,90","0,01","0,34%","126,8K","10:19:13"
"Petrobras ON","50,71","50,84","50,49","0,59","1,18%","568,5K","10:18:55"
"Bradesco PN","19,06","19,06","18,87","0,06","0,32%","683K","10:18:56"
"BB Seguridade ON","34,90","35,00","34,76","0,02","0,06%","182,2K","10:19:15"
"CVC Brasil ON","1,95","1,98","1,94","0,00","0,00%","350,4K","10:18:54"
"Weg ON","46,46","46,46","45,74","0,49","1,07%","95,6K","10:18:56"
"Itaú Unibanco PN","43,10","43,10","42,77","0,10","0,23%","366,8K","10:19:23"
"Ambipar ON","0,23","0,23","0,22","0,00","0,00%","39,3K","10:18:25"
"Axia ON","59,18","59,34","58,79","0,27","0,46%","158K","10:19:13"
"Marfrig Global Food","16,82","17,01","16,66","-0,01","-0,06%","273,2K","10:19:25"
"Brava ON","17,75","18,55","17,55","-0,89","-4,77%","2,65M","10:19:21"
"IRB Brasil ON","56,11","56,11","55,55","0,43","0,77%","19K","10:19:35"
"Americanas ON","5,00","5,03","4,97","0,00","0,00%","40,6K","10:18:49"
"CSN Mineração ON","4,94","4,94","4,90","0,04","0,82%","265,1K","10:19:44"
"Cemig PN","12,00","12,00","11,94","0,05","0,42%","177,2K","10:18:58"
"Randon PN","4,91","4,94","4,83","0,11","2,29%","216,1K","10:19:25"
"Lupatech ON","0,88","0,91","0,88","0,01","1,15%","14,2K","10:09:08"
"YDUQS ON","10,55","10,56","10,30","0,15","1,44%","317,8K","10:19:22"
